date,score
2025-10-04 23:01:05.469223,20.0
2025-10-04 23:01:09.966719,20.0
2025-10-04 23:16:04.517420,20.0
2025-10-04 23:16:30.616208,25.0
2025-10-04 23:16:43.419560,25.0
